Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_000164805.2	Tarsius_syrichta-2.0.1	Carlito syrichta					Samal-C Ts95f	female		3453847770	Scaffold	2013-09-18	ABRT02	38165	401181
GCA_000164825.1	ASM16482v1	Ochotona princeps					NMMNH268	female		3445784354	Scaffold	2007-08-03	AAYZ01	3265	88760
GCA_000164845.5	VicPac3.2	Vicugna pacos					Carlotta (AHFN-0088)	female		2118853581	Scaffold	2019-07-15	ABRR03	29521	24022313
GCA_000165445.3	Mmur_3.0	Microcebus murinus					mixed	pooled male and female		2487392024	Chromosome	2017-02-06	ABDC03	210702	108171978
GCA_000167515.2	ASM16751v2	Gorilla gorilla						male		3022900	Contig	2006-11-09	AAGL01	684	
GCA_000167535.2	ASM16753v2	Pongo abelii						male		2351675	Contig	2007-11-09	AAGM01	638	
GCA_000167555.2	ASM16755v2	Macaca mulatta						male		2311300	Contig	2007-11-09	AAGN01	932	
GCA_000180715.1	ASM18071v1	Rattus norvegicus		SHRSP/Bbb						21587496	Scaffold	2007-04-10	AAXM01	1011	1012
GCA_000180775.1	ASM18077v1	Rattus norvegicus					wild rat 1			22396858	Contig	2007-04-10	AAXO01	852	
GCA_000180795.1	ASM18079v1	Rattus norvegicus		WKY/Bbb						27248079	Scaffold	2007-04-10	AAXL01	883	883
GCA_000180995.3	Bubalus_bubalis_Jaffrabadi_v3.0	Bubalus bubalis	Jafarabadi				Manek	male		3759980894	Scaffold	2018-02-22	ACZF03	13977	102345
GCA_000181015.1	ASM18101v1	Rattus norvegicus		SS/JrNhsd						48720500	Scaffold	2007-04-10	AAXN01	715	715
GCA_000181035.1	ASM18103v1	Rattus norvegicus		GK/Ox						50224496	Contig	2007-04-10	AAXP01	746	
GCA_000181135.1	Watson-partial	Homo sapiens								41668798	Contig	2008-04-17	ABKV01	235	
GCA_000181195.1	ASM18119v1	Mus musculus								2477636994	Contig	2002-05-15	CAAA01	24821	
GCA_000181275.2	SorAra2.0	Sorex araneus					GB8-d	female		2423158183	Scaffold	2012-08-27	AALT02	22623	22794405
GCA_000181295.3	OtoGar3	Otolemur garnettii					467f Iridium	female		2519724550	Scaffold	2011-03-16	AAQR03	27100	13852661
GCA_000181315.1	ASM18131v1	Ictidomys tridecemlineatus						female		1913367893	Contig	2006-06-06	AAQQ01	2749	
GCA_000181335.4	Felis_catus_9.0	Felis catus	Abyssinian				Cinnamon	female		2521846836	Chromosome	2017-11-20	AANG04	41915695	83967707
GCA_000181335.5	felCat9.1_X	Felis catus	Abyssinian				Cinnamon	female		2521710482	Chromosome	2021-10-01	AANG04	41915695	88880063
GCA_000181375.1	ASM18137v1	Tupaia belangeri						female		2137225476	Contig	2006-06-08	AAPY01	2974	
GCA_000181395.1	ASM18139v1	Erinaceus europaeus						female		2133117389	Contig	2006-02-17	AANN01	2753	
GCA_000181415.1	ASM18141v1	Canis lupus familiaris	poodle							1517481071	Contig	2003-09-27	AACN01	1516	
GCA_000185105.2	MmusALLPATHS2	Mus musculus		C57BL/6J				female		2505015129	Scaffold	2012-08-29	AEKQ02	19501	18924318
GCA_000185125.1	MmusSOAP1	Mus musculus		C57BL/6J				female		2561486811	Scaffold	2011-01-06	AEKR01	15782	357132
GCA_000185165.1	HsapALLPATHS1	Homo sapiens						female		2786258565	Scaffold	2011-01-06	AEKP01	23924	12084118
GCA_000189315.1	Devil_ref v7.0	Sarcophilus harrisii					Salem	female		3174693010	Scaffold	2011-02-17	AEFK01	20139	1847106
GCA_000191605.1	WTD_RRL	Odocoileus virginianus								15002289	Contig	2011-03-07	AEGY01	362	
GCA_000191625.1	RRL-RSL_1.0	Odocoileus virginianus								37656191	Contig	2011-03-07	AEGZ01	451	
GCA_000208655.4	Dasnov3.2	Dasypus novemcinctus					3-136	female		3631306433	Scaffold	2012-01-06	AAGV03	26278	1687935
GCA_000212995.1	HuRefPrime	Homo sapiens						male		3036778166	Chromosome	2008-09-24	ABSL01	98388	15540354
GCA_000215625.1	MusPutFur1.0	Mustela putorius furo	Sable				ID#1420	female		2410863155	Scaffold	2011-06-02	AEYP01	44823	9335154
GCA_000219685.1	Devil_CABOG_asm.06	Sarcophilus harrisii								3232424150	Scaffold	2011-06-30	AFEY01	11025	151762
GCA_000222185.1	MacFas_Jun2011	Macaca fascicularis								2878471044	Chromosome	2011-07-23	CAEC01	3658	155658674
GCA_000223135.1	CriGri_1.0	Cricetulus griseus							Annotation submitted by Beijing Genomics Institute	2399770464	Scaffold	2011-08-23	AFTD01	39362	1147233
GCA_000230445.1	HetGla_1.0	Heterocephalus glaber						male	Annotation submitted by Beijing Genomics Institute	2643961837	Scaffold	2011-10-14	AFSB01	21750	1603177
GCA_000230795.1	CR_1.0	Macaca mulatta					CR-5	female	Annotation submitted by Beijing Genomics Institute	2969971616	Chromosome	2011-10-19	AEHK01	12841	1660975
GCA_000230815.1	CE_1.0	Macaca fascicularis					CE-4	female	Annotation submitted by Beijing Genomics Institute	3126563191	Chromosome	2011-10-19	AEHL01	13209	1141162
GCA_000235385.1	SaiBol1.0	Saimiri boliviensis boliviensis					3227	female		2608572064	Scaffold	2011-11-17	AGCE01	38823	18744880
GCA_000236235.1	SpeTri2.0	Ictidomys tridecemlineatus					#75	female		2478393770	Scaffold	2011-11-29	AGTP01	44137	8192786
GCA_000239315.1	MusPutFurMale1.0	Mustela putorius furo	Sable				ID#4666	male		2400181698	Scaffold	2011-12-21	AGTQ01	66755	9567452
GCA_000241425.1	DauMad_1.0	Daubentonia madagascariensis					Dm6514m	male		2855365987	Scaffold	2012-01-05	AGTM01	3358	3653
GCA_000243295.1	TriManLat1.0	Trichechus manatus latirostris					Lorelei	female		3103791524	Scaffold	2012-01-23	AHIN01	37750	14442683
GCA_000247695.1	HetGla_female_1.0	Heterocephalus glaber					NMR 29	female		2618188253	Scaffold	2012-02-17	AHKG01	47778	20532749
GCA_000247795.2	Bos_indicus_1.0	Bos indicus	Nelore				QUIL7308	male		2673949103	Chromosome	2014-11-25	AGFL01	28375	106310653
GCA_000252825.1	HuRef diploid	Homo sapiens						male		3036779618	Chromosome	2008-09-24	ABBA01	98390	15540064
GCA_000258655.2	panpan1.1	Pan paniscus					Ulindi	female		3286627333	Chromosome	2015-08-18	AJFE02	66676	8197324
GCA_000260255.1	OctDeg1.0	Octodon degus					3935	female		2995872505	Scaffold	2012-05-01	AJSA01	19847	12091372
GCA_000260355.1	ConCri1.0	Condylura cristata					star-nosed mole 26May11	female		1769662895	Scaffold	2012-05-01	AJFV01	46163	55520359
GCA_000264685.2	Panu_3.0	Papio anubis					1X1155	female		2959356508	Chromosome	2017-04-20	AHZZ02	149817	585721
GCA_000276665.1	ChiLan1.0	Chinchilla lanigera					Chin_1	female		2390852391	Scaffold	2012-07-09	AGCD01	61105	21893125
GCA_000280705.1	JacJac1.0	Jaculus jaculus					JJ0015	female		2835233679	Scaffold	2012-07-30	AKZC01	15675	22080993
GCA_000283155.1	CerSimSim1.0	Ceratotherium simum simum					SDZICR_KB13650	female		2464350348	Scaffold	2012-07-31	AKZM01	92960	26277727
GCA_000292845.1	OchPri3.0	Ochotona princeps					Ochotona princeps_07Jul2011	female		2229824103	Scaffold	2012-08-27	ALIT01	42347	26863993
GCA_000296735.1	ChrAsi1.0	Chrysochloris asiatica						female		4210093806	Scaffold	2012-09-19	AMDV01	19632	13470186
GCA_000296755.1	EriEur2.0	Erinaceus europaeus					Erinaceus europaeus_13Jul2011	female		2715703478	Scaffold	2012-09-19	AMDU01	21359	3264618
GCA_000298275.1	OryAfe1.0	Orycteropus afer afer					SDZICR_OR568_19922	female		4444063711	Scaffold	2012-09-20	ALYB01	17683	7875832
GCA_000298355.1	BosGru_v2.0	Bos mutus					yakQH1	female	Annotation submitted by BGI-shenzhen	2645145588	Scaffold	2013-01-09	AGSK01	22822	1407960
GCA_000298735.2	Oar_v4.0	Ovis aries	Texel							2615499683	Chromosome	2015-11-20	AMGL02	150472	100009711
GCA_000299155.1	EleEdw1.0	Elephantulus edwardii					Elephantulus edwardi_28Jun2011	female		3843982861	Scaffold	2012-10-10	AMGZ01	24219	15011382
GCA_000306695.2	CHM1_1.1	Homo sapiens					CHM1			3037866619	Chromosome	2013-06-14	AMYH02	143936	50362920
GCA_000308155.1	EptFus1.0	Eptesicus fuscus					BU_THK_EF1	female		2026629342	Scaffold	2012-11-08	ALEH01	21392	13454942
GCA_000311805.2	CB1	Camelus ferus					Naran	male	Annotation submitted by The Bactrian Camels Genome Sequencing and Analysis Consortium	2009177929	Scaffold	2013-07-30	AGVR01	90263	2005940
GCA_000313985.2	ASM31398v2	Echinops telfairi					266	female		2947103070	Scaffold	2019-07-15	AAIY03	20425	54422506
GCA_000317375.1	MicOch1.0	Microtus ochrogaster					Prairie Vole_2	female		2287340943	Chromosome	2012-12-07	AHZW01	21250	17270019
GCA_000317765.2	CHIR_2.0	Capra hircus	Yunnan black goat					female		2809418462	Chromosome	2015-09-16	AJPT02	73533	9094169
GCA_000321225.1	Oros_1.0	Odobenus rosmarus divergens					Ivan	male		2400133628	Scaffold	2013-01-16	ANOP01	89951	2616778
GCA_000325575.1	ASM32557v1	Pteropus alecto						male	Annotation submitted by BGI	1985958707	Scaffold	2012-12-20	ALWS01	31842	15954802
GCA_000325845.1	ASM32584v1	Pan troglodytes					Yerkes chimp pedigree #C0471 (Clint)			2733948177	Contig	2003-12-05	AADA01	15702	
GCA_000325925.2	minipig_v1.0	Sus scrofa	Wuzhishan				L1-53	male		2508912457	Scaffold	2015-03-18	AJKK01	31939	5853977
GCA_000327345.1	ASM32734v1	Myotis davidii						male	Annotation submitted by BGI	2059799708	Scaffold	2012-12-20	ALWT01	15182	3454484
GCA_000331475.1	SscrofaMinipig	Sus scrofa	Ellegaard Gottingen minipig					female		2358017222	Contig	2013-01-10	AOCR01	22008	
GCA_000331495.1	Beagle	Canis lupus familiaris	beagle					female		2254627151	Contig	2013-01-10	AOCS01	21834	
GCA_000331955.2	Oorc_1.1	Orcinus orca					Morgan	female		2372903489	Scaffold	2013-01-31	ANOL02	70300	12735091
GCA_000334495.1	TupChi_1.0	Tupaia chinensis						male	Annotation submitted by BGI	2846580235	Scaffold	2013-01-31	ALAR01	25938	3670124
GCA_000349665.1	MesAur1.0	Mesocricetus auratus					Golden Hamster female 1	female		2504908775	Scaffold	2013-03-29	APMT01	22512	12753307
GCA_000349705.1	LepWed1.0	Leptonychotes weddellii					WS11-02	female		3156886159	Scaffold	2013-03-29	APMU01	23664	904068
GCA_000350445.1	mm129svJae1.0	Mus musculus		129Sv/Jae			1	female		2578286128	Scaffold	2013-04-05	AHBB01	15255	6876427
GCA_000364345.1	Macaca_fascicularis_5.0	Macaca fascicularis						female		2946827162	Chromosome	2013-06-12	AQIA01	86040	88649475
GCA_000365445.1	CSA	Homo sapiens								2992787018	Chromosome	2004-02-25	AADC01	97525	2954094
GCA_000389885.1	MSM_WGSv1	Mus musculus		MSM/Ms						1195475039	Scaffold	2013-04-23	BAAG01	1170	1170
GCA_000400835.1	PHO1.0	Pantholops hodgsonii						male		2696869832	Scaffold	2013-05-28	AGTT01	18674	2772860
GCA_000409795.2	Chlorocebus_sabeus 1.1	Chlorocebus sabaeus					1994-021	male		2789639778	Chromosome	2014-03-25	AQIB01	90449	81825804
GCA_000412655.1	ASM41265v1	Myotis brandtii						male	Annotation submitted by BGI	2107242811	Scaffold	2013-06-28	ANKR01	23289	3225832
GCA_000419365.1	C_griseus_v1.0	Cricetulus griseus								2360130144	Scaffold	2013-07-12	AMDS01	27129	1558295
GCA_000442215.1	Lipotes_vexillifer_v1	Lipotes vexillifer								2429195737	Scaffold	2013-07-31	AUPI01	31902	2419148
GCA_000442295.1	RP11_1.0_unmatched_regions	Homo sapiens								17129356	Scaffold	2013-07-31	AUXG01	37086	132008
GCA_000442335.2	LinearCen1.1 (normalized)	Homo sapiens						male		63124078	Chromosome	2013-12-06	DAAF01	648981	2031890
GCA_000448345.1	Cgr1.0	Cricetulus griseus		17A/GY					Annotation submitted by CeBiTec, Bielefeld University	2332774290	Scaffold	2013-08-29	APMK01	11899	1236516
GCA_000464555.1	PanTig1.0	Panthera tigris altaica					TaeGuk	male		2391065193	Scaffold	2013-09-06	ATCQ01	30032	8860407
GCA_000465285.1	ASM46528v1	Eidolon helvum								1837754460	Scaffold	2013-09-13	AWHC01	12668	27684
GCA_000465345.1	ASM46534v1	Megaderma lyra								1735931796	Scaffold	2013-09-14	AWHB01	7043	16881
GCA_000465405.1	ASM46540v1	Pteronotus parnellii								1960317893	Scaffold	2013-09-13	AWGZ01	9502	22675
GCA_000465495.1	ASM46549v1	Rhinolophus ferrumequinum								1926439238	Scaffold	2013-09-15	AWHA01	11659	21151
GCA_000471725.1	UMD_CASPUR_WB_2.0	Bubalus bubalis	Mediterranean					female		2836150610	Scaffold	2013-09-30	AWWX01	21938	1412388
GCA_000472045.1	Physeter_macrocephalus-2.0.2	Physeter catodon						female		2280711356	Scaffold	2013-09-30	AWZP01	35258	427290
GCA_000472085.2	Tibetan_Pig_v2	Sus scrofa	Tibetan					female		2437742524	Scaffold	2016-08-08	AORO02	57199	861885
GCA_000493695.1	BalAcu1.0	Balaenoptera acutorostrata scammoni						male		2431671281	Scaffold	2013-10-31	ATDI01	22690	12843668
GCA_000500345.1	Pman_1.0	Peromyscus maniculatus bairdii								2630541020	Scaffold	2013-12-03	AYHN01	36367	3760915
GCA_000604445.1	CB1	Camelus bactrianus								1568773545	Scaffold	2013-07-03	CAOW01	1717	2814
GCA_000612945.1	CS3220	Ursus arctos								775393	Scaffold	2014-03-31	CBZK01	6019	391865
GCA_000622305.1	S.galili_v1.0	Nannospalax galili					Female #2095	female		3061408210	Scaffold	2014-06-05	AXCS01	30353	3618479
GCA_000687225.1	UrsMar_1.0	Ursus maritimus					Baiyulong	male		2301362327	Scaffold	2014-05-09	AVOR01	46506	15940661
GCA_000688575.1	CavAp1.0	Cavia aperea						male		2716396567	Scaffold	2014-01-21	AVPZ01	1039	27928671
GCA_000696425.1	G_variegatus-3.0.2	Galeopterus variegatus						male		3187643824	Scaffold	2014-06-05	JMZW01	20753	245189
GCA_000696655.1	Ajinai1.0	Equus caballus	Mongolian				Ajinai	male		2377506909	Scaffold	2014-06-06	ATDM01	40738	56256
GCA_000696695.1	Burgud	Equus przewalskii					Burgud	male		2395937679	Scaffold	2014-06-05	ATBW01	57610	513800
GCA_000738955.1	M_pentadactyla-1.1.1	Manis pentadactyla					MPE899	female		2204732179	Scaffold	2014-08-11	JPTV01	28718	117920
GCA_000743615.1	DMR_v1.0	Fukomys damarensis						male	Annotation submitted by BGI	2333892479	Scaffold	2014-09-04	AYUG01	44830	5314287
GCA_000751575.1	kmer631	Capreolus capreolus								2785377831	Scaffold	2014-09-09	CCMK01	4167	10458
GCA_000754665.1	Bison_UMD1.0	Bison bison bison					TAMUID 2011002044	male		2953606000	Scaffold	2014-10-08	JPYT01	18844	6873254
GCA_000765075.1	Caeg1	Capra aegagrus								2583320943	Scaffold	2014-07-15	CBYH01	51868	1750063
GCA_000765115.1	Oori1	Ovis aries musimon								2589834840	Scaffold	2014-07-15	CBYI01	39721	2217029
GCA_000767525.1	Vi_pacos_V1.0	Vicugna pacos huacaya						female		2013701362	Scaffold	2015-02-11	JEMW01	213649	5303709
GCA_000767585.1	PRJNA234474_Ca_dromedarius_V1.0	Camelus dromedarius	Arabia					male		2004047047	Scaffold	2014-10-21	JDVD01	69131	4188677
GCA_000767855.1	Ca_bactrianus_MBC_1.0	Camelus bactrianus	Alxa					female		1992646609	Scaffold	2014-10-23	JARL01	139067	8812066
GCA_000769185.1	Rrox_v1	Rhinopithecus roxellana					Xiao Hai	male		2899535590	Scaffold	2014-10-28	JABR01	77151	1549224
GCA_000772465.1	Charlie1.0	Nasalis larvatus					Charlie	male		3011966170	Chromosome	2014-11-10	JMHX01	13295	137426304
GCA_000772585.3	ASM77258v3	Homo sapiens					CHM1	female		3259501860	Contig	2015-01-21	JSAF02	3945491	
GCA_000772875.3	Mmul_8.0.1	Macaca mulatta					17573	female		3236207768	Chromosome	2015-11-30	JSUE03	107172	4193270
GCA_000786075.2	hs38d1	Homo sapiens								5792522	Scaffold	2014-12-18		2785	2785
GCA_000803125.3	CamDro3	Camelus dromedarius	African				Drom800	female	Annotation submitted by Vetmeduni Vienna	2169346739	Chromosome	2019-10-07	JWIN03	236391	70369702
GCA_000832365.1	ASM83236v1	Callithrix jacchus	186/17066					female		1504610980	Contig	2015-01-29	JRUL01	859	
GCA_000951035.1	Cang.pa_1.0	Colobus angolensis palliatus					OR3802	female		2970124662	Scaffold	2015-03-12	JYKR01	38363	7840981
GCA_000951045.1	Mleu.le_1.0	Mandrillus leucophaeus					KB7577	female		3061992840	Scaffold	2015-03-12	JYKQ01	31346	3186748
GCA_000952055.2	Anan_2.0	Aotus nancymaae					86115	female		2861668348	Scaffold	2017-06-09	JYKP02	126456	8268663
GCA_000955945.1	Caty_1.0	Cercocebus atys					FAK	female		2848246356	Scaffold	2015-03-19	JZLG01	112942	12849131
GCA_000956065.1	Mnem_1.0	Macaca nemestrina					M95218	female		2948703511	Scaffold	2015-03-19	JZLF01	106897	15219753
GCA_000956105.1	Pcoq_1.0	Propithecus coquereli					6110/MARCELLA	female		2798135037	Scaffold	2015-03-23	JZKE01	28129	5604909
GCA_000978405.1	CapAeg_1.0	Capra aegagrus					BamuBGIKM			2828873048	Chromosome	2015-04-24	JXYW01	19347	91317560
GCA_000978805.1	ASM97880v1	Balaenoptera bonaerensis								2234641557	Scaffold	2015-03-18	BAUQ01	8410	20082
GCA_000983455.2	CHM13 Draft Assembly	Homo sapiens					CHM13	female		2941135618	Contig	2015-11-20	LBHZ02	10549591	
GCA_000983465.1	CHM13 Default 5% Error	Homo sapiens					CHM13	female		3061224163	Contig	2015-04-30	LBLP01	13331528	
GCA_000983475.1	CHM13 CA Conservative 2.5% Error	Homo sapiens					CHM13	female		2996400366	Contig	2015-04-30	LBLQ01	5550336	
GCA_001007805.1	PacBioCHM1_r1_02092014	Homo sapiens					CHM1	female		3239064731	Contig	2015-05-15	LCYE01	4498608	
GCA_001013985.1	ASM101398v1	Homo sapiens						female		3176574379	Scaffold	2015-05-29	LAZQ01	1557716	26834081
GCA_001015355.1	CHM13 CA Sensitive 5% Error	Homo sapiens					CHM13	female		3028901302	Contig	2015-06-01	LDNV01	19357701	
GCA_001015385.3	CHM13 CA Sensitive 2.5% Error	Homo sapiens					CHM13	female		3064986594	Contig	2015-11-20	LDOC03	12252446	
GCA_001039535.1	ASM103953v1	Ovis canadensis canadensis					43U	male		2590545282	Chromosome	2015-06-25		8067	100190483
GCA_001262655.1	Emacaco_refEf_BWA_oneround	Eulemur macaco					Harmonia	female		2119866805	Scaffold	2015-08-06	LGHX01	20038	405987
GCA_001262665.1	Eflavifronsk33QCA	Eulemur flavifrons					Harlow	female		2115566677	Scaffold	2015-08-06	LGHW01	27331	413352
GCA_001269965.1	CIEA01	Callithrix jacchus					G104702			2620625188	Contig	2015-08-07	BBXK01	61041	
GCA_001270425.1	Mmul_Y_1.0	Macaca mulatta						male		11753682	Chromosome	2015-08-20		7945854	7945854
GCA_001292825.2	HS1011_v1.1	Homo sapiens					CMT-001	male		2872295476	Chromosome	2015-11-12	LIQK02	373039	74315606
GCA_001292865.1	ss10.2_mar2013	Sus scrofa	Goettingen					female		2611360562	Scaffold	2015-09-16	LIDP01	17259	153651326
GCA_001297185.2	PacBioCHM1_r2_GenBank_08152018	Homo sapiens								2995735915	Contig	2018-08-31	LJII02	26547048	
GCA_001305755.1	ASM130575v1	Equus asinus	Guanzhong donkey				Maral har	male		2391034547	Scaffold	2015-10-02	JREZ01	66737	3776412
GCA_001305785.1	ASM130578v1	Myodes glareolus					BV_1_Jyvaskyla			3443072068	Scaffold	2015-10-02	LIPI01	1591	364535
GCA_001305905.1	ASM130590v1	Apodemus sylvaticus					WM_1_Wirral			3758143898	Scaffold	2015-10-02	LIPJ01	1208	245982
GCA_001305995.1	ASM130599v1	Microtus agrestis					FV_M396_Kielder	male		3124140565	Scaffold	2015-10-02	LIQJ01	1380	896668
GCA_001307015.1	CA P5+P6 CHM1 Assembly Conservative 2.5% Error	Homo sapiens					CHM1	female		3006443946	Contig	2015-10-14	LKHY01	26162726	
GCA_001307025.1	CA P6 CHM1 Conservative 2.5%	Homo sapiens					CHM1	female		2939614135	Contig	2015-10-14	LKHW01	20609304	
GCA_001307125.1	CA P5+P6 CHM1 Assembly Default 5% Error	Homo sapiens					CHM1	female		3053628735	Contig	2015-10-14	LKHX01	23313104	
GCA_001420745.1	CA P5+P6 CHM1 Assembly Sensitive 2.5% Error	Homo sapiens					CHM1	female		3106546465	Contig	2015-11-02	LMBD01	11334645	
GCA_001420755.1	CA P5+P6 CHM1 Assembly Sensitive No Breaking 5% Error	Homo sapiens					CHM1	female		2949268618	Contig	2015-11-02	LMBA01	30935124	
GCA_001420765.1	CA P5+P6 CHM1 Assembly Sensitive No Breaking 2.5% Error	Homo sapiens					CHM1	female		2989410695	Contig	2015-11-02	LMBB01	34007701	
GCA_001421375.1	CA P5+P6 CHM1 Assembly Sensitive 5% Error	Homo sapiens					CHM1	female		3085173251	Contig	2015-11-02	LMBC01	17843544	
GCA_001443585.1	aciJub1	Acinonyx jubatus					AJU 981 Chewbacca	male		2372536860	Scaffold	2015-11-13	LLWD01	35120	3122036
GCA_001458135.2	marMar	Marmota marmota marmota						male		2506852125	Scaffold	2019-12-18	CZRN02	66546	31340621
GCA_001466805.2	Raegyp2.0	Rousettus aegyptiacus					1219	male		1910233862	Scaffold	2016-03-17	LOCP02	1488988	2007187
GCA_001483585.1	hirise_NA12878_merac_L1_L2_50%	Homo sapiens						female		2736125942	Scaffold	2015-12-30	LOQL01	42538	7170015
GCA_001483605.1	hirise_NA12878_merac_L1_L2_L3	Homo sapiens						female		2737090855	Scaffold	2015-12-30	LOQM01	42375	42995035
GCA_001483655.1	NA12878_merac_PE_MP_Fos	Homo sapiens						female		2814365809	Scaffold	2015-12-30	LPXP01	47466	9077666
GCA_001483685.1	hirise_NA12878_merac_L1_L2	Homo sapiens						female		2736502564	Scaffold	2015-12-30	LOEK01	43065	15207562
GCA_001484535.2	GorgorY_ver1.0	Gorilla gorilla gorilla					KB3781	male		25391741	Scaffold	2016-01-04	LQCJ01	17836	97455
GCA_001500185.1	NA12878_merac_PE	Homo sapiens						female		2723440459	Scaffold	2015-12-30	LOQP01	27153	33360
GCA_001500205.1	hirise_NA12878_discovar_L1_L2	Homo sapiens						female		3070981262	Scaffold	2015-12-30	LOQO01	124488	20947960
GCA_001517065.1	NA12878_discovar	Homo sapiens						female		3068057564	Scaffold	2015-12-30	LOQN01	114215	179783
